AV,#genre#
JUL-155 三浦歩美,https://ao-block-ater.mushroomtrack.com/bcdn_token=t1S7m0rwUyZVt8U4EtgjKJ3Y-4gz5UuLl8EQ9bExBKU&expires=1671788609&token_path=%2Fvod%2F/vod/6000/6229/6229.m3u8
MIDE-742 高橋聖子,https://ao-block-ater.mushroomtrack.com/bcdn_token=78Pyk5DrnRwyrHej5oKttZ1HbdD-vyW_9PZ3vtCEpdU&expires=1671877854&token_path=%2Fvod%2F/vod/6000/6184/6184.m3u8
MIDE-730 高橋聖子,https://ao-block-ater.mushroomtrack.com/bcdn_token=QbUCDKQC6NEAFYh592lhgtExNaTPROmf--nNuN7sszw&expires=1671878862&token_path=%2Fvod%2F/vod/7000/7056/7056.m3u8
MIDV-040 高橋聖子,https://kingdom-last.mushroomtrack.com/hls/LJv1dWhItdmTW_2jzOMSPg/1671882576/21000/21837/21837.m3u8
123,https://dash.madou.club/videos/6384bf45755a6828b1c39793/index.m3u8?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJhY2Nlc3MiOiJ2aWV3IiwiaWF0IjoxNjcxOTUzOTI5LCJleHAiOjE2NzE5NTQwMjl9.cFxTWBE_LwQk6hTMQXUVXYEaTFF0_He9zFb8ONHQ700
爱豆,#genre#
MAD004 延禧攻略之肉欲金銮殿-颂潮,https://e2fa6.cdnedge.live/file/avple-images/hls/608a6e8f3e0b854199f48110/playlist.m3u8
MAD005 淫蕩護士的白絲誘惑-頌潮,https://d862cp.cdnedge.live/file/avple-images/hls/609d571e034d9169e690f6d9/playlist.m3u8
MAD006 繡春刀3淫娃戰場-莫瀟瀟,https://w9n76.cdnedge.live/file/avple-images/hls/60ae81e5951db425b35e80ff/playlist.m3u8
MAD007 當家花旦的墮落之路-文冰冰,https://je40u.cdnedge.live/file/avple-images/hls/60c086a11ada6b26dd8e77fc/playlist.m3u8
MAD008 西域舞女國風女優-莫瀟瀟,https://10j99.cdnedge.live/file/avple-images/hls/612e7c51702b5501c1a98c24/playlist.m3u8
MAD009 青樓美豔花魁-文冰冰,https://q2cyl7.cdnedge.live/file/avple-images/hls/60c9a7d23390952ea99c2c49/playlist.m3u8
MAD010 大興賭坊之淫行天下-倪哇哇,https://zo392.cdnedge.live/file/avple-images/hls/60feb03bae74ba636bb32a47/playlist.m3u8
MAD011 玉女心經-陳可心,https://e2fa6.cdnedge.live/file/avple-images/hls/612f8fa1aea52029946451ce/playlist.m3u8
MAD012 現代金瓶梅-倪哇哇,https://q2cyl7.cdnedge.live/file/avple-images/hls/60f1655c6c52ab4d84b6d15d/playlist.m3u8
MAD013 綠帽老公的私欲-陳可心,https://10j99.cdnedge.live/file/avple-images/hls/6145b295093e9737484e1346/playlist.m3u8
MAD014 亂世佳人第一章-韓依人,https://d862cp.cdnedge.live/file/avple-images/hls/612b29b1e3c06f24e486b3d3/playlist.m3u8
MAD015 亂世佳人第二章-韓依人,https://q2cyl7.cdnedge.live/file/avple-images/hls/61410d999e64c05ed6d60c7b/playlist.m3u8
MAD016 牛郎織女-郭童童,https://je40u.cdnedge.live/file/avple-images/hls/61158fd97633411363f3e936/playlist.m3u8
MAD017 貴妃裙下臣-文冰冰,https://8bb88.cdnedge.live/file/avple-images/hls/6171a981f8003d17dfd1a739/playlist.m3u8
MAD018 倩女幽魂-陳可心,https://q2cyl7.cdnedge.live/file/avple-images/hls/618073224d383b66797a6981/playlist.m3u8
MAD019 亂世佳人第三章-陳可心,https://e2fa6.cdnedge.live/file/avple-images/hls/61628da0c778383b6b882d03/playlist.m3u8
MAD020 青蛇白蛇-林雪漫 倪哇哇,https://zo392.cdnedge.live/file/avple-images/hls/615b13b662da73610588de50/playlist.m3u8
MAD021 東方不敗-林雪漫 倪哇哇,https://d862cp.cdnedge.live/file/avple-images/hls/618463a6fddb3b0ce1f32687/playlist.m3u8
MAD022 野性歡愉-穆雪,https://8bb88.cdnedge.live/file/avple-images/hls/61a940fd0791fe25b65cea19/playlist.m3u8
MAD023 物業小姐黑絲誘惑-韓依人,https://je40u.cdnedge.live/file/avple-images/hls/61cacfc5b4a41e7b51c24d50/playlist.m3u8
MAD024 電競女友-陳可心,https://1xp60.cdnedge.live/file/avple-images/hls/61a52595a992bd3d5c3eb61b/playlist.m3u8
MAD025 刺激戰場-陳可心,https://zo392.cdnedge.live/file/avple-images/hls/61b1a2751b15f6408e9320e6/playlist.m3u8
MAD026 花田性事-倪哇哇,https://q2cyl7.cdnedge.live/file/avple-images/hls/61c6a55e668fd93b4250a31a/playlist.m3u8
MAD027 草原精靈-陳可心,https://zo392.cdnedge.live/file/avple-images/hls/61ce1315b418404e15c81308/playlist.m3u8
MAD028 鬼父性癖-陳可心,https://10j99.cdnedge.live/file/avple-images/hls/61f3922623581479b901ae14/playlist.m3u8
MAD029 危險中的仙人跳-陶子,https://u89ey.cdnedge.live/file/avple-images/hls/61bad1f1d56b7626e975d4ea/playlist.m3u8
MAD030 亂世佳人第五章-倪哇哇 林雪漫,https://8bb88.cdnedge.live/file/avple-images/hls/61d22f33fc53091229805816/playlist.m3u8
MAD031 慈禧秘史-趙一曼,https://e2fa6.cdnedge.live/file/avple-images/hls/61e927aac6ba7653ff36281f/playlist.m3u8
MAD032 台球賭局-陶子,https://1xp60.cdnedge.live/file/avple-images/hls/62059debd69d37216eb636d6/playlist.m3u8
MAD033 後宮秘密-陶子,https://w9n76.cdnedge.live/file/avple-images/hls/6233ca63aefa78093f9ffdd4/playlist.m3u8
MAD034 亂倫洞房-林曉雪,https://d862cp.cdnedge.live/file/avple-images/hls/62173262336b5d6ff709b37a/playlist.m3u8
MAD035 淫劫無間-林曉雪,https://zo392.cdnedge.live/file/avple-images/hls/62266f8ec4dfd90d53d40fc2/playlist.m3u8
MAD036 苗疆少女-文冰冰,https://zo392.cdnedge.live/file/avple-images/hls/61d62681f2772f49dcde1d52/playlist.m3u8
MAD037 亂世佳人第四章風情萬種賣花女-張婉妍,https://q2cyl7.cdnedge.live/file/avple-images/hls/62104c229d14d648884aa813/playlist.m3u8
MAD038 唐伯虎點秋香-林曉雪 張婉妍,https://u89ey.cdnedge.live/file/avple-images/hls/61fd8f2ec68d7d11e015cd8b/playlist.m3u8
MAD039 機靈可愛小叫花-韓詩雨,https://1xp60.cdnedge.live/file/avple-images/hls/621e160f0b43873ee3783bec/playlist.m3u8
MAD040 後宮爭寵傳-陳可心,https://zo392.cdnedge.live/file/avple-images/hls/628ab9d6a1c1cd0b44683f02/playlist.m3u8
MAD041 青樓豔譚-陳可心,https://u89ey.cdnedge.live/file/avple-images/hls/6238258a3f90d26204d0e67d/playlist.m3u8
MAD042 淫靡通奸欲,https://w9n76.cdnedge.live/file/avple-images/hls/62cfc2c85674ee7621358807/playlist.m3u8
MAD043 亂世佳人第五章淫欲少奶奶性致四起-趙一曼,https://zo392.cdnedge.live/file/avple-images/hls/626fb8b93ddea14c11aa4ab2/playlist.m3u8
MAD045 禁宮奢淫傳-陳可心,https://8bb881.cdnedge.live/file/avple-asserts/hls/63415c98fca32a12fd46a2e1/playlist.m3u8

国产AV,#genre#
DYTM010抖音旅行射,https://vod1.vodyutu.com/20220807/HNIXxMyT/index.m3u8

玩偶姐姐,#genre#
青蛇,https://t7.cdn2020.com/video/m3u8/2021/04/13/3068b86f/index.m3u8
晨钟暮鼓,https://t12.cdn2020.com:12337/video/m3u8/2021/10/07/4227fd89/index.m3u8
森林-0,https://t11.cdn2020.com:12336/video/m3u8/2021/09/07/44c2f4b0/index.m3u8
森林-1,https://t11.cdn2020.com:12336/video/m3u8/2021/09/23/e278a64b/index.m3u8
森林-2,https://t12.cdn2020.com:12337/video/m3u8/2021/10/12/156a9074/index.m3u8
森林-3,https://t12.cdn2020.com:12337/video/m3u8/2021/10/20/665fd140/index.m3u8
热恋海岸线,https://t10.cdn2020.com:12335/video/m3u8/2021/08/24/3c4f4f5d/index.m3u8
白丝诱惑,https://t7.cdn2020.com/video/m3u8/2021/07/16/bda88add/index.m3u8
女友姐姐-1,https://t7.cdn2020.com/video/m3u8/2021/05/27/c49c54bc/index.m3u8
女友姐姐-2,https://t7.cdn2020.com/video/m3u8/2021/06/10/26eb52c0/index.m3u8
女友姐姐-3,https://t7.cdn2020.com/video/m3u8/2021/06/28/ec19c14c/index.m3u8
女友姐姐番外,https://t7.cdn2020.com/video/m3u8/2021/05/27/a9567708/index.m3u8
美女陪玩-1,https://t7.cdn2020.com/video/m3u8/2021/04/13/64a71706/index.m3u8
美女陪玩-2,https://t7.cdn2020.com/video/m3u8/2021/04/13/f79d4d16/index.m3u8
美女陪玩-3,https://t7.cdn2020.com/video/m3u8/2021/05/27/af5c29ae/index.m3u8
美女陪玩-4,https://t7.cdn2020.com/video/m3u8/2021/05/27/1f210f22/index.m3u8
黑丝jk,https://t7.cdn2020.com/video/m3u8/2021/04/13/3875d4dd/index.m3u8
黑色短裙,https://t7.cdn2020.com/video/m3u8/2021/04/13/9db97545/index.m3u8
她在看书,https://t7.cdn2020.com/video/m3u8/2021/04/13/9f4ff210/index.m3u8
cos兔女郎,https://t7.cdn2020.com/video/m3u8/2021/04/13/2487679c/index.m3u8
她在哀求,https://t7.cdn2020.com/video/m3u8/2021/04/13/a9d96d57/index.m3u8
cos女仆,https://t7.cdn2020.com/video/m3u8/2021/04/13/6115c720/index.m3u8
圣诞jk,https://t7.cdn2020.com/video/m3u8/2021/04/13/1e3a935a/index.m3u8
穹妹,https://t7.cdn2020.com/video/m3u8/2021/04/13/22411b1a/index.m3u8
梦中奴隶,https://t7.cdn2020.com/video/m3u8/2021/04/13/9fae717d/index.m3u8
玩具solo,https://t7.cdn2020.com/video/m3u8/2021/04/13/b2635f15/index.m3u8
按摩油的用处,https://t12.cdn2020.com:12337/video/m3u8/2021/11/06/13b5f514/index.m3u8

91傳媒,#genre#
礼物,https://v1.goulexizuo.com/20210821/gghOYegb/2000kb/hls/index.m3u8
穿越到王者荣耀的世界第一集,https://v1.goulexizuo.com/20210821/VdM0ZaJt/2000kb/hls/index.m3u8
合租男女,https://v1.goulexizuo.com/20210821/wOlWvDQE/2000kb/hls/index.m3u8
女优面试,https://v1.goulexizuo.com/20210821/vjANSDd0/2000kb/hls/index.m3u8
女外教,https://v1.goulexizuo.com/20210818/BIQE8BnJ/2000kb/hls/index.m3u8
女友的惊喜,https://v1.goulexizuo.com/20210816/jjZ7aPom/2000kb/hls/index.m3u8
出差之旅,https://v1.goulexizuo.com/20210816/OCMG2pRf/2000kb/hls/index.m3u8
小姨,https://v1.goulexizuo.com/20210815/4rkmMsrl/2000kb/hls/index.m3u8
七夕,https://v1.goulexizuo.com/20210815/HnFqLrcf/2000kb/hls/index.m3u8
重逢,https://v1.goulexizuo.com/20210815/Rk9oQoPS/2000kb/hls/index.m3u8
夫人饶了我吧,https://v1.goulexizuo.com/20210813/ChvhpbUB/2000kb/hls/index.m3u8
大小姐的沦陷,https://v1.goulexizuo.com/20210813/jYLgZUpE/2000kb/hls/index.m3u8
被拐卖的外国美女,https://v1.goulexizuo.com/20210813/JvcAo4uU/2000kb/hls/index.m3u8
贤者之爱,https://v1.goulexizuo.com/20210813/bVmMruvz/2000kb/hls/index.m3u8
我的表妹,https://v1.goulexizuo.com/20210809/vZPTo8JN/2000kb/hls/index.m3u8
婚内情,https://v1.goulexizuo.com/20210809/NQE2ggHw/2000kb/hls/index.m3u8
中华料理,https://v1.goulexizuo.com/20210809/WwR4faTH/2000kb/hls/index.m3u8
反常的妻子,https://v1.goulexizuo.com/20210809/lMdFj3pY/2000kb/hls/index.m3u8
寻找陈美惠,https://v1.goulexizuo.com/20210804/p8OaZLQQ/2000kb/hls/index.m3u8
不孕的妻子,https://v1.goulexizuo.com/20210804/6PXldFwi/2000kb/hls/index.m3u8
堕落女律师,https://v1.goulexizuo.com/20210804/McrYJN5D/2000kb/hls/index.m3u8
再遇潘金莲,https://v1.goulexizuo.com/20210801/TasNbeDd/2000kb/hls/index.m3u8
岳母,https://v1.goulexizuo.com/20210801/vlUBxZGs/2000kb/hls/index.m3u8
贤惠的嫂子,https://v1.goulexizuo.com/20210730/gF6VhF6q/2000kb/hls/index.m3u8
弟弟的青春期,https://v1.goulexizuo.com/20210729/iWwLBDAQ/2000kb/hls/index.m3u8
家教老师,https://v1.goulexizuo.com/20210729/RlNVqw0t/2000kb/hls/index.m3u8
女海王项思醒,https://v1.goulexizuo.com/20210724/qU4OEjZ3/2000kb/hls/index.m3u8
再遇班花,https://v1.goulexizuo.com/20210724/eiwLUwr8/2000kb/hls/index.m3u8
堕落少女,https://v1.goulexizuo.com/20210723/Qyt4Uu7C/2000kb/hls/index.m3u8
少女的报答,https://v1.goulexizuo.com/20210722/RduQR68R/2000kb/hls/index.m3u8
妻子的男闺密,https://v1.goulexizuo.com/20210722/Cgmuu5Rh/2000kb/hls/index.m3u8
女王的调教,https://v1.goulexizuo.com/20210719/Ov1twQDg/2000kb/hls/index.m3u8
意大利留学生的兼职,https://v1.goulexizuo.com/20210719/K0UEjYRg/2000kb/hls/index.m3u8
卡在洗衣机的姐姐,https://v1.goulexizuo.com/20210716/z8qgNPj2/2000kb/hls/index.m3u8
屈服性裁,https://v1.goulexizuo.com/20210716/tavH2TpX/2000kb/hls/index.m3u8
空姐的兼职,https://v1.goulexizuo.com/20210716/S2BrJG91/2000kb/hls/index.m3u8
继父与我,https://v1.goulexizuo.com/20210713/kVvvtwba/2000kb/hls/index.m3u8
真实计划外拍遭遇,https://v1.goulexizuo.com/20210713/yssvXalo/2000kb/hls/index.m3u8
欧洲杯,https://v1.goulexizuo.com/20210713/odY0mfSJ/2000kb/hls/index.m3u8
被下药的女儿,https://v1.goulexizuo.com/20210707/VikTazCo/2000kb/hls/index.m3u8
兄弟新交的女友,https://v1.goulexizuo.com/20210707/5I0Q5JV1/2000kb/hls/index.m3u8
保姆,https://v1.goulexizuo.com/20210704/GiRzrxcI/2000kb/hls/index.m3u8
小三的遭遇,https://v1.goulexizuo.com/20210704/tswQCZQz/2000kb/hls/index.m3u8
公公的特殊照顾,https://v1.goulexizuo.com/20210704/qOqmAetb/2000kb/hls/index.m3u8
女学渣的救赎,https://v1.goulexizuo.com/20210630/Sl7iXOPM/2000kb/hls/index.m3u8
盲人弟弟,https://v1.goulexizuo.com/20210630/iSgvvV3M/2000kb/hls/index.m3u8
弟妹跟我吧,https://v1.goulexizuo.com/20210627/LgD62Vgn/2000kb/hls/index.m3u8
一夜情,https://v1.goulexizuo.com/20210626/gZPP3nWp/2000kb/hls/index.m3u8
三胎计划,https://v1.goulexizuo.com/20210626/nlAE3vYJ/2000kb/hls/index.m3u8
继母的劝慰,https://v1.goulexizuo.com/20210626/vpYBpdkx/2000kb/hls/index.m3u8
儿媳,https://v1.goulexizuo.com/20210626/szoLkBHl/2000kb/hls/index.m3u8
中文老师,https://v1.goulexizuo.com/20210621/xwXKPUeK/2000kb/hls/index.m3u8
妻子的野心下集,https://v1.goulexizuo.com/20210619/vVb7wVUq/2000kb/hls/index.m3u8
妻子的野心上集,https://v1.goulexizuo.com/20210619/xzbPC2zO/2000kb/hls/index.m3u8
通缉犯的报复,https://v1.goulexizuo.com/20210617/Loe2zlFh/2000kb/hls/index.m3u8
伏魔人,https://v1.goulexizuo.com/20210615/rLIjTtrE/2000kb/hls/index.m3u8
荔枝,https://v1.goulexizuo.com/20210613/aSbWmE4i/2000kb/hls/index.m3u8
合租的女生,https://v1.goulexizuo.com/20210612/x5BgVfQX/2000kb/hls/index.m3u8
神奇物语—宠物香水,https://v1.goulexizuo.com/20210611/pWhg643J/2000kb/hls/index.m3u8
离婚委托,https://v1.goulexizuo.com/20210611/BRxfPnIP/2000kb/hls/index.m3u8
恸哭大小姐,https://v1.goulexizuo.com/20210609/6OKDxzST/2000kb/hls/index.m3u8
贪官的妻子,https://v1.goulexizuo.com/20210605/9L48wg2S/2000kb/hls/index.m3u8
道士下山,https://v1.goulexizuo.com/20210605/zrBlpwZN/2000kb/hls/index.m3u8
心机婊的上位手段,https://v1.goulexizuo.com/20210605/cOAtlaRL/2000kb/hls/index.m3u8
考研的姐姐,https://v1.goulexizuo.com/20210603/kcvYYd5t/2000kb/hls/index.m3u8
下海女教师,https://v1.goulexizuo.com/20210601/vQPqu8aV/2000kb/hls/index.m3u8
原母亲的新男友三,https://v1.goulexizuo.com/20210531/SNra6ftt/2000kb/hls/index.m3u8
母亲的新男友4,https://v1.goulexizuo.com/20210531/r7BvigaE/2000kb/hls/index.m3u8
原版9母亲的新男友二,https://v1.goulexizuo.com/20210528/NZbbbdJR/2000kb/hls/index.m3u8
原母亲的新男友,https://v1.goulexizuo.com/20210528/YG7MRUFl/2000kb/hls/index.m3u8
原迷信的女人,https://v1.goulexizuo.com/20210528/3vAPWt76/2000kb/hls/index.m3u8
宠物女友,https://v1.goulexizuo.com/20210524/GMVW2FK9/2000kb/hls/index.m3u8
算命先生,https://v1.goulexizuo.com/20210522/vnwnP0Um/2000kb/hls/index.m3u8
善良的小姨子,https://v1.goulexizuo.com/20210521/CJHI8Tbk/2000kb/hls/index.m3u8
交换身体,https://v1.goulexizuo.com/20210518/mE0LCRQ9/2000kb/hls/index.m3u8
睡了兄弟妹妹,https://v1.goulexizuo.com/20210517/gbCFEP16/2000kb/hls/index.m3u8
绿帽先生,https://v1.goulexizuo.com/20210517/sGNWUTp8/2000kb/hls/index.m3u8
失忆小母狗,https://v1.goulexizuo.com/20210515/cnLxH7Kt/2000kb/hls/index.m3u8
嫖错妓,https://v1.goulexizuo.com/20210515/KwwoAOwo/2000kb/hls/index.m3u8
诈骗报复,https://v1.goulexizuo.com/20210512/hRFGrIab/2000kb/hls/index.m3u8
台湾一夜,https://v1.goulexizuo.com/20210512/22nq6EzS/2000kb/hls/index.m3u8
搭讪美女,https://v1.goulexizuo.com/20210509/dg6HeN5C/2000kb/hls/index.m3u8
可恶岳母,https://v1.goulexizuo.com/20210509/nBKuO1vL/2000kb/hls/index.m3u8
上錯轎車找對郎,https://v1.goulexizuo.com/20210508/X98exF8Q/2000kb/hls/index.m3u8
堕落人妻四,https://v1.goulexizuo.com/20210505/LYblb6Og/2000kb/hls/index.m3u8
饥渴的洋妞,https://v1.goulexizuo.com/20210505/RxWjFWF2/2000kb/hls/index.m3u8
原版被报复的小姐嫖娼遇套路报复可恶的小姐,https://v1.goulexizuo.com/20210502/k6keDHFx/2000kb/hls/index.m3u8
侵犯女老板,https://v1.goulexizuo.com/20210501/UXkiZrbj/2000kb/hls/index.m3u8
消失的爱人,https://v1.goulexizuo.com/20210501/RBTcnplM/2000kb/hls/index.m3u8
女间谍的秘密,https://v1.goulexizuo.com/20210428/I82Hr2Zc/2000kb/hls/index.m3u8
