太原电信酒店源,#genre#
CCTV1,http://110.178.211.142:9003/hls/1/index.m3u8
CCTV2,http://110.178.211.142:9003/hls/2/index.m3u8
CCTV3,http://110.178.211.142:9003/hls/3/index.m3u8
CCTV4,http://110.178.211.142:9003/hls/4/index.m3u8
CCTV5+,http://110.178.211.142:9003/hls/6/index.m3u8
CCTV6,http://110.178.211.142:9003/hls/7/index.m3u8
CCTV7,http://110.178.211.142:9003/hls/8/index.m3u8
CCTV8,http://110.178.211.142:9003/hls/9/index.m3u8
CCTV9,http://110.178.211.142:9003/hls/10/index.m3u8
CCTV10,http://110.178.211.142:9003/hls/11/index.m3u8
CCTV11,http://110.178.211.142:9003/hls/12/index.m3u8
CCTV12,http://110.178.211.142:9003/hls/13/index.m3u8
CCTV13,http://110.178.211.142:9003/hls/14/index.m3u8
CCTV14,http://110.178.211.142:9003/hls/15/index.m3u8
CCTV15,http://110.178.211.142:9003/hls/16/index.m3u8
CCTV16,http://110.178.211.142:9003/hls/17/index.m3u8
CCTV17,http://110.178.211.142:9003/hls/18/index.m3u8
山西卫视,http://110.178.211.142:9003/hls/19/index.m3u8
北京卫视,http://110.178.211.142:9003/hls/20/index.m3u8
安徽卫视,http://110.178.211.142:9003/hls/21/index.m3u8
重庆卫视,http://110.178.211.142:9003/hls/22/index.m3u8
东方卫视,http://110.178.211.142:9003/hls/23/index.m3u8
福建卫视,http://110.178.211.142:9003/hls/24/index.m3u8
甘肃卫视,http://110.178.211.142:9003/hls/25/index.m3u8
广东卫视,http://110.178.211.142:9003/hls/26/index.m3u8
广西卫视,http://110.178.211.142:9003/hls/27/index.m3u8
海南卫视,http://110.178.211.142:9003/hls/28/index.m3u8
河北卫视,http://110.178.211.142:9003/hls/29/index.m3u8
河南卫视,http://110.178.211.142:9003/hls/30/index.m3u8
黑龙江卫视,http://110.178.211.142:9003/hls/31/index.m3u8
湖北卫视,http://110.178.211.142:9003/hls/32/index.m3u8
湖南卫视,http://110.178.211.142:9003/hls/33/index.m3u8
江苏卫视,http://110.178.211.142:9003/hls/35/index.m3u8
江西卫视,http://110.178.211.142:9003/hls/36/index.m3u8
辽宁卫视,http://110.178.211.142:9003/hls/37/index.m3u8
内蒙卫视,http://110.178.211.142:9003/hls/38/index.m3u8
宁夏卫视,http://110.178.211.142:9003/hls/39/index.m3u8
青海卫视,http://110.178.211.142:9003/hls/40/index.m3u8
山东卫视,http://110.178.211.142:9003/hls/41/index.m3u8
陕西卫视,http://110.178.211.142:9003/hls/42/index.m3u8
深圳卫视,http://110.178.211.142:9003/hls/43/index.m3u8
四川卫视,http://110.178.211.142:9003/hls/44/index.m3u8
天津卫视,http://110.178.211.142:9003/hls/45/index.m3u8
西藏卫视,http://110.178.211.142:9003/hls/46/index.m3u8
新疆卫视,http://110.178.211.142:9003/hls/47/index.m3u8
云南卫视,http://110.178.211.142:9003/hls/48/index.m3u8
浙江卫视,http://110.178.211.142:9003/hls/49/index.m3u8
兵团卫视,http://110.178.211.142:9003/hls/50/index.m3u8

太原电信组播,#genre#
CTV1高清,http://110.179.80.156:8889/rtp/239.1.1.7:8007
CCTV2高清,http://110.179.80.156:8889/rtp/239.1.1.8:8008
CCTV3高清,http://110.179.80.156:8889/rtp/239.1.1.9:8009
CCTV4高清,http://110.179.80.156:8889/rtp/239.1.1.10:8010
CCTV5高清,http://110.179.80.156:8889/rtp/239.1.1.11:8011
CCTV5+高清,http://110.179.80.156:8889/rtp/239.1.1.12:8012
